codigo;nombre;estado;codigoDistribuidor
547;547;1;1
4600;4600;1;1
610;610;1;1
1427;1427;1;1
471;471;1;1
269;269;1;1
362;362;1;1
185;185;1;1
2122;2122;1;1
53;53;1;1
117;117;1;1
91;91;1;1
93;93;1;1
82;82;1;1
3307;3307;1;1
510;510;1;1
5309;5309;1;1
4160;4160;1;1
4588;4588;1;1
391;391;1;1
27;27;1;1
4912;4912;1;1
1824;1824;1;1
1775;1775;1;1
245;245;1;1
220;220;1;1
1742;1742;1;1
636;636;1;1
446;446;1;1
1613;1613;1;1
554;554;1;1
468;468;1;1
606;606;1;1
602;602;1;1
600;600;1;1
564;564;1;1
708;708;1;1
492;492;1;1
694;694;1;1
693;693;1;1
4713;4713;1;1
1432;1432;1;1
986;986;1;1
3363;3363;1;1
1008;1008;1;1
1128;1128;1;1
1117;1117;1;1
1092;1092;1;1
2504;2504;1;1
1288;1288;1;1
4897;4897;1;1
4904;4904;1;1
1230;1230;1;1
2265;2265;1;1
1466;1466;1;1
5319;5319;1;1
1815;1815;1;1
1689;1689;1;1
1287;1287;1;1
1407;1407;1;1
1591;1591;1;1
1760;1760;1;1
4972;4972;1;1
1647;1647;1;1
1618;1618;1;1
1810;1810;1;1
4761;4761;1;1
1814;1814;1;1
1855;1855;1;1
1890;1890;1;1
1886;1886;1;1
2035;2035;1;1
2016;2016;1;1
2057;2057;1;1
5283;5283;1;1
611;611;1;1
612;612;1;1
2260;2260;1;1
2414;2414;1;1
4433;4433;1;1
2510;2510;1;1
4879;4879;1;1
2497;2497;1;1
5339;5339;1;1
2669;2669;1;1
2674;2674;1;1
2663;2663;1;1
2789;2789;1;1
458;458;1;1
2944;2944;1;1
3111;3111;1;1
3118;3118;1;1
3128;3128;1;1
3224;3224;1;1
3110;3110;1;1
4975;4975;1;1
4990;4990;1;1
5012;5012;1;1
5013;5013;1;1
5081;5081;1;1
5070;5070;1;1
5095;5095;1;1
5103;5103;1;1
5039;5039;1;1
5167;5167;1;1
5146;5146;1;1
5141;5141;1;1
5143;5143;1;1
5144;5144;1;1
5129;5129;1;1
5115;5115;1;1
5203;5203;1;1
5204;5204;1;1
5197;5197;1;1
5177;5177;1;1
5211;5211;1;1
5219;5219;1;1
5201;5201;1;1
4439;4439;1;1
4612;4612;1;1
5401;5401;1;1
5350;5350;1;1
5386;5386;1;1
5378;5378;1;1
5377;5377;1;1
5367;5367;1;1
5354;5354;1;1
5343;5343;1;1
871;871;1;1
2381;2381;1;1
3382;3382;1;1
3396;3396;1;1
4270;4270;1;1
5106;5106;1;1
5120;5120;1;1
5122;5122;1;1
5133;5133;1;1
5179;5179;1;1
5322;5322;1;1
5387;5387;1;1
5347;5347;1;1
5272;5272;1;1
5275;5275;1;1
582;582;1;1
504;504;1;1
5231;5231;1;1
5224;5224;1;1
5042;5042;1;1
5064;5064;1;1
5067;5067;1;1
5184;5184;1;1
5149;5149;1;1
5172;5172;1;1
5168;5168;1;1
5034;5034;1;1
5029;5029;1;1
5050;5050;1;1
5024;5024;1;1
5091;5091;1;1
5078;5078;1;1
5007;5007;1;1
5010;5010;1;1
4949;4949;1;1
4983;4983;1;1
5009;5009;1;1
4934;4934;1;1
4938;4938;1;1
4888;4888;1;1
4882;4882;1;1
4769;4769;1;1
4770;4770;1;1
